Time,No. Steps,Total Reward,Episode Length
0.040056705474853516,2912,0,200
0.040468692779541016,24523,0,30
0.04134941101074219,52487,0,451
0.04182243347167969,83615,0,637
0.05280423164367676,113260,0,532
0.04990363121032715,141395,0,427
0.03212785720825195,164933,0,137
0.025973796844482422,188588,0,125
0.030193090438842773,212060,0,131
0.03984403610229492,235670,0,136
0.02543163299560547,258703,0,108
0.03280782699584961,281583,0,105
0.025289297103881836,305035,0,119
0.034987688064575195,327816,0,119
0.043756961822509766,351599,0,200
0.050965070724487305,376177,0,200
0.042070865631103516,400715,0,200
0.04214763641357422,428291,0,400
0.042429208755493164,455689,0,400
0.04240727424621582,483022,0,400
0.04245495796203613,510559,0,400
0.04079246520996094,534925,0,200
0.04800581932067871,556207,0,30
0.0398867130279541,577609,0,30
0.03969407081604004,598916,0,30
0.044190406799316406,625953,0,400
0.040198326110839844,649957,0,200
